id,species,country,locality,nwhi,sequenced_coi,sequenced_cytb,lon,lat,source,coi_accession,cytb_accession
Prh-019,Plagiotremus rhinorhynchos,British Indian Ocean Territory,Diego Garcia,0,1,0,72.4228556,-7.3195005,sequenced,PX905284,NA
Prh-020,Plagiotremus rhinorhynchos,British Indian Ocean Territory,Diego Garcia,0,1,0,72.4228556,-7.3195005,sequenced,PX905285,NA
Prh-021,Plagiotremus rhinorhynchos,British Indian Ocean Territory,Diego Garcia,0,1,0,72.4228556,-7.3195005,sequenced,PX905286,NA
Prh-022,Plagiotremus rhinorhynchos,British Indian Ocean Territory,Diego Garcia,0,1,0,72.4228556,-7.3195005,sequenced,PX905287,NA
Prh-023,Plagiotremus rhinorhynchos,British Indian Ocean Territory,Diego Garcia,0,1,0,72.4228556,-7.3195005,sequenced,PX905288,NA
Prh-024,Plagiotremus rhinorhynchos,British Indian Ocean Territory,Diego Garcia,0,1,0,72.4228556,-7.3195005,sequenced,PX905289,NA
Prh-025,Plagiotremus rhinorhynchos,British Indian Ocean Territory,Diego Garcia,0,0,0,72.4228556,-7.3195005,sequenced,NA,NA
Prh-026,Plagiotremus rhinorhynchos,British Indian Ocean Territory,Diego Garcia,0,1,0,72.4228556,-7.3195005,sequenced,PX905290,NA
Prh-027,Plagiotremus rhinorhynchos,British Indian Ocean Territory,Diego Garcia,0,1,0,72.4228556,-7.3195005,sequenced,PX905291,NA
Prh-028,Plagiotremus rhinorhynchos,British Indian Ocean Territory,Diego Garcia,0,0,0,72.4228556,-7.3195005,sequenced,NA,NA
Prh-029,Plagiotremus rhinorhynchos,British Indian Ocean Territory,Diego Garcia,0,1,0,72.4228556,-7.3195005,sequenced,PX905292,NA
Prh-030,Plagiotremus rhinorhynchos,British Indian Ocean Territory,Diego Garcia,0,1,0,72.4228556,-7.3195005,sequenced,PX905293,NA
Prh-031,Plagiotremus rhinorhynchos,British Indian Ocean Territory,Diego Garcia,0,1,0,72.4228556,-7.3195005,sequenced,PX905294,NA
Prh-032,Plagiotremus rhinorhynchos,British Indian Ocean Territory,Diego Garcia,0,1,0,72.4228556,-7.3195005,sequenced,PX905295,NA
Prh-033,Plagiotremus rhinorhynchos,British Indian Ocean Territory,Diego Garcia,0,0,0,72.4228556,-7.3195005,sequenced,NA,NA
Prh-034,Plagiotremus rhinorhynchos,British Indian Ocean Territory,Diego Garcia,0,1,0,72.4228556,-7.3195005,sequenced,PX905296,NA
Prh-035,Plagiotremus rhinorhynchos,British Indian Ocean Territory,Diego Garcia,0,1,0,72.4228556,-7.3195005,sequenced,PX905297,NA
Pta-044,Plagiotremus tapeinosoma,British Indian Ocean Territory,Diego Garcia,0,0,1,72.4228556,-7.3195005,sequenced,NA,PX907146
Pta-045,Plagiotremus tapeinosoma,British Indian Ocean Territory,Diego Garcia,0,1,1,72.4228556,-7.3195005,sequenced,PX905152,PX907147
Pta-046,Plagiotremus tapeinosoma,British Indian Ocean Territory,Diego Garcia,0,0,0,72.4228556,-7.3195005,sequenced,NA,NA
Pta-047,Plagiotremus tapeinosoma,British Indian Ocean Territory,Diego Garcia,0,0,1,72.4228556,-7.3195005,sequenced,NA,PX907148
Pta-048,Plagiotremus tapeinosoma,British Indian Ocean Territory,Diego Garcia,0,0,1,72.4228556,-7.3195005,sequenced,NA,PX907149
Pta-049,Plagiotremus tapeinosoma,British Indian Ocean Territory,Diego Garcia,0,0,1,72.4228556,-7.3195005,sequenced,NA,PX907150
Pta-050,Plagiotremus tapeinosoma,British Indian Ocean Territory,Diego Garcia,0,0,1,72.4228556,-7.3195005,sequenced,NA,PX907151
Pta-051,Plagiotremus tapeinosoma,British Indian Ocean Territory,Diego Garcia,0,1,1,72.4228556,-7.3195005,sequenced,PX905153,PX907152
Pta-052,Plagiotremus tapeinosoma,British Indian Ocean Territory,Diego Garcia,0,1,0,72.4228556,-7.3195005,sequenced,PX905154,NA
Pta-053,Plagiotremus tapeinosoma,British Indian Ocean Territory,Diego Garcia,0,0,1,72.4228556,-7.3195005,sequenced,NA,PX907153
Pta-054,Plagiotremus tapeinosoma,British Indian Ocean Territory,Diego Garcia,0,1,1,72.4228556,-7.3195005,sequenced,PX905155,PX907154
Pta-055,Plagiotremus tapeinosoma,British Indian Ocean Territory,Diego Garcia,0,1,1,72.4228556,-7.3195005,sequenced,PX905156,PX907155
