id	species	island	country	region
Prh-KP194373	Plagiotremus rhinorhynchos	Heron Island	Australia	GBR
Pta-KP194051	Plagiotremus tapeinosoma	Lizard Island	Australia	GBR
Pew-001	Plagiotremus ewaensis	Hawaii	Hawaii	Hawaii
Pew-002	Plagiotremus ewaensis	Oahu	Hawaii	Hawaii
Pew-003	Plagiotremus ewaensis	Maui	Hawaii	Hawaii
Pew-005	Plagiotremus ewaensis	French Frigate Shoals	Hawaii	Hawaii
Pew-009	Plagiotremus ewaensis	Pearl and Hermes Reef	Hawaii	Hawaii
Pew-010	Plagiotremus ewaensis	Pearl and Hermes Reef	Hawaii	Hawaii
Pew-014	Plagiotremus ewaensis	Kauai	Hawaii	Hawaii
Pew-020	Plagiotremus ewaensis	Oahu	Hawaii	Hawaii
Pew-021	Plagiotremus ewaensis	Oahu	Hawaii	Hawaii
Pew-024	Plagiotremus ewaensis	Oahu	Hawaii	Hawaii
Pew-025	Plagiotremus ewaensis	Gardner Pinnacles	Hawaii	Hawaii
Pew-029	Plagiotremus ewaensis	Kaula Rock	Hawaii	Hawaii
Pew-031	Plagiotremus ewaensis	Midway Atoll	Hawaii	Hawaii
Pew-032	Plagiotremus ewaensis	Midway Atoll	Hawaii	Hawaii
Pew-035	Plagiotremus ewaensis	French Frigate Shoals	Hawaii	Hawaii
Pew-043	Plagiotremus ewaensis	Midway Atoll	Hawaii	Hawaii
Pew-044	Plagiotremus ewaensis	Midway Atoll	Hawaii	Hawaii
Pew-046	Plagiotremus ewaensis	Necker Island	Hawaii	Hawaii
Pew-047	Plagiotremus ewaensis	Pearl and Hermes Reef	Hawaii	Hawaii
Pew-049	Plagiotremus ewaensis	Nihoa	Hawaii	Hawaii
Pew-050	Plagiotremus ewaensis	Nihoa	Hawaii	Hawaii
Pew-053	Plagiotremus ewaensis	Lisianski	Hawaii	Hawaii
Pew-056	Plagiotremus ewaensis	Hawaii	Hawaii	Hawaii
Pew-059	Plagiotremus ewaensis	Midway Atoll	Hawaii	Hawaii
Pew-066	Plagiotremus ewaensis	Midway Atoll	Hawaii	Hawaii
Pgo-059	Plagiotremus goslinei	French Frigate Shoals	Hawaii	Hawaii
Pgo-077	Plagiotremus goslinei	Midway Atoll	Hawaii	Hawaii
Pgo-097	Plagiotremus goslinei	Nihoa	Hawaii	Hawaii
Pgo-098	Plagiotremus goslinei	Nihoa	Hawaii	Hawaii
Pgo-099	Plagiotremus goslinei	Midway Atoll	Hawaii	Hawaii
Pgo-102	Plagiotremus goslinei	French Frigate Shoals	Hawaii	Hawaii
Pew-004	Plagiotremus ewaensis	French Frigate Shoals	Hawaii	Hawaii
Pew-006	Plagiotremus ewaensis	Pearl and Hermes Reef	Hawaii	Hawaii
Pew-007	Plagiotremus ewaensis	French Frigate Shoals	Hawaii	Hawaii
Pew-008	Plagiotremus ewaensis	Pearl and Hermes Reef	Hawaii	Hawaii
Pew-011	Plagiotremus ewaensis	Pearl and Hermes Reef	Hawaii	Hawaii
Pew-012	Plagiotremus ewaensis	French Frigate Shoals	Hawaii	Hawaii
Pew-013	Plagiotremus ewaensis	French Frigate Shoals	Hawaii	Hawaii
Pew-015	Plagiotremus ewaensis	Kauai	Hawaii	Hawaii
Pew-016	Plagiotremus ewaensis	Kauai	Hawaii	Hawaii
Pew-017	Plagiotremus ewaensis	Kauai	Hawaii	Hawaii
Pew-018	Plagiotremus ewaensis	Oahu	Hawaii	Hawaii
Pew-019	Plagiotremus ewaensis	Hawaii	Hawaii	Hawaii
Pew-022	Plagiotremus ewaensis	Oahu	Hawaii	Hawaii
Pew-023	Plagiotremus ewaensis	Oahu	Hawaii	Hawaii
Pew-026	Plagiotremus ewaensis	Laysan	Hawaii	Hawaii
Pew-027	Plagiotremus ewaensis	Kaula Rock	Hawaii	Hawaii
Pew-028	Plagiotremus ewaensis	Kaula Rock	Hawaii	Hawaii
Pew-030	Plagiotremus ewaensis	Kaula Rock	Hawaii	Hawaii
Pew-033	Plagiotremus ewaensis	Pearl and Hermes Reef	Hawaii	Hawaii
Pew-034	Plagiotremus ewaensis	Pearl and Hermes Reef	Hawaii	Hawaii
Pew-036	Plagiotremus ewaensis	Oahu	Hawaii	Hawaii
Pew-041	Plagiotremus ewaensis	Midway Atoll	Hawaii	Hawaii
Pew-042	Plagiotremus ewaensis	Midway Atoll	Hawaii	Hawaii
Pew-045	Plagiotremus ewaensis	Necker Island	Hawaii	Hawaii
Pew-048	Plagiotremus ewaensis	Pearl and Hermes Reef	Hawaii	Hawaii
Pew-051	Plagiotremus ewaensis	Nihoa	Hawaii	Hawaii
Pew-052	Plagiotremus ewaensis	Nihoa	Hawaii	Hawaii
